date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:40:01	50515/50515	---M--	200	added ('OK')	image/jpeg	etag:%22c55b-5bd449cb10a4d%22	images/company.jpg	C:/My%20Web%20Sites/storin/www.storin.in/images/company.jpg	(from css/style.css)
00:40:01	205248/205248	---M--	200	added ('OK')	image/jpeg	etag:%22321c8-5bd449cc2fc02%22	images/contact-bg.jpg	C:/My%20Web%20Sites/storin/www.storin.in/images/contact-bg.jpg	(from css/style.css)
00:40:01	339/339	---M--	200	added ('OK')	image/jpeg	etag:%2215b-5bd449df7933e%22	images/list-bg.jpg	C:/My%20Web%20Sites/storin/www.storin.in/images/list-bg.jpg	(from css/style.css)
00:40:01	279/279	---M--	200	added ('OK')	image/png	etag:%2211b-5bd449ea8164f%22	images/select-arrow-contact.png	C:/My%20Web%20Sites/storin/www.storin.in/images/select-arrow-contact.png	(from css/style.css)
00:40:02	239120/239120	---M--	200	added ('OK')	image/png	etag:%223a610-5bd449c074d99%22	images/background-img02.png	C:/My%20Web%20Sites/storin/www.storin.in/images/background-img02.png	(from css/style.css)
00:40:02	246/246	---M--	200	added ('OK')	image/png	etag:%22f8-5bd449c2e2ea0%22	images/bottom-arrow.png	C:/My%20Web%20Sites/storin/www.storin.in/images/bottom-arrow.png	(from css/style.css)
00:40:02	147/147	---M--	200	added ('OK')	image/png	etag:%2295-5bd449e47a70c%22	images/over-arrow.png	C:/My%20Web%20Sites/storin/www.storin.in/images/over-arrow.png	(from css/style.css)
00:40:02	209/209	---M--	200	added ('OK')	image/png	etag:%22d1-5bd449dfe0b7a%22	images/listed-bg.png	C:/My%20Web%20Sites/storin/www.storin.in/images/listed-bg.png	(from css/style.css)
00:40:02	353/353	---M--	200	added ('OK')	image/png	etag:%22161-5bd449c547368%22	images/check-icon-w.png	C:/My%20Web%20Sites/storin/www.storin.in/images/check-icon-w.png	(from css/style.css)
00:40:03	348/348	---M--	200	added ('OK')	image/png	etag:%2215c-5bd449c56b586%22	images/check-icon.png	C:/My%20Web%20Sites/storin/www.storin.in/images/check-icon.png	(from css/style.css)
00:40:03	90985/90985	---M--	200	added ('OK')	image/jpeg	etag:%2216371-5bd449f294c1d%22	images/why-us.jpg	C:/My%20Web%20Sites/storin/www.storin.in/images/why-us.jpg	(from css/style.css)
00:40:03	78341/78341	---M--	200	added ('OK')	image/jpeg	etag:%221320d-5bd449ddb9f10%22	images/it-consulting-bg.jpg	C:/My%20Web%20Sites/storin/www.storin.in/images/it-consulting-bg.jpg	(from css/style.css)
00:40:03	151/151	---M--	200	added ('OK')	image/png	etag:%2297-5bd449bda03f5%22	images/arrow-left.png	C:/My%20Web%20Sites/storin/www.storin.in/images/arrow-left.png	(from css/style.css)
00:40:04	39010/39010	---M--	200	added ('OK')	image/jpeg	etag:%22986a-5bd449c5c62a3%22	images/client-bg.jpg	C:/My%20Web%20Sites/storin/www.storin.in/images/client-bg.jpg	(from css/style.css)
00:40:04	11759/11759	---M--	200	added ('OK')	image/jpeg	etag:%222df7-5bd449d91385f%22	images/gray-mix-bg.jpg	C:/My%20Web%20Sites/storin/www.storin.in/images/gray-mix-bg.jpg	(from css/style.css)
00:40:04	147927/147927	---M--	200	added ('OK')	image/jpeg	etag:%22241df-5bd449da7bdf1%22	images/home-banner.jpg	C:/My%20Web%20Sites/storin/www.storin.in/images/home-banner.jpg	(from css/style.css)
00:40:04	209/209	---M--	200	added ('OK')	image/png	etag:%22d1-5bd449e0118b8%22	images/listed-bg1.png	C:/My%20Web%20Sites/storin/www.storin.in/images/listed-bg1.png	(from css/style.css)
00:40:05	631/631	---M--	200	added ('OK')	image/png	etag:%22277-5bd449dfa237d%22	images/list-round-icon.png	C:/My%20Web%20Sites/storin/www.storin.in/images/list-round-icon.png	(from css/style.css)
00:40:05	1438/1438	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Mar%202021%2020:28:54%20GMT	css/owl.video.play.png	C:/My%20Web%20Sites/storin/www.storin.in/css/owl.video.play.png	(from css/style.css)
00:40:05	5652/5652	---M--	200	added ('OK')	image/gif	etag:%222185-4edb465c2bd00%22	css/images/bx_loader.gif	C:/My%20Web%20Sites/storin/www.storin.in/css/images/bx_loader.gif	(from css/jquery.bxslider.css)
00:40:05	1595/1595	---M--	200	added ('OK')	image/png	etag:%22764-5bc849ac4ab36%22	css/images/controls.png	C:/My%20Web%20Sites/storin/www.storin.in/css/images/controls.png	(from css/jquery.bxslider.css)
00:40:06	60767/60767	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%22ed5f-5b9f196b11d80-gzip%22	fonts/fontawesome-webfont.eot?v=4.3.0	C:/My%20Web%20Sites/storin/www.storin.in/fonts/fontawesome-webfonte0a5.eot	(from css/font-awesome.min.css)
00:40:06	60767/60767	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%22ed5f-5b9f196b11d80-gzip%22	fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/storin/www.storin.in/fonts/fontawesome-webfontd41d.eot	(from css/font-awesome.min.css)
00:40:06	56780/56780	---M--	200	added ('OK')	font/woff2	etag:%22ddcc-5b9f196b11d80%22	fonts/fontawesome-webfont.woff2?v=4.3.0	C:/My%20Web%20Sites/storin/www.storin.in/fonts/fontawesome-webfonte0a5.woff2	(from css/font-awesome.min.css)
00:40:06	71508/71508	---M--	200	added ('OK')	font/woff	etag:%2211754-5b9f196b11d80%22	fonts/fontawesome-webfont.woff?v=4.3.0	C:/My%20Web%20Sites/storin/www.storin.in/fonts/fontawesome-webfonte0a5.woff	(from css/font-awesome.min.css)
00:40:07	122092/122092	---MCZ	200	added ('OK')	font/ttf	etag:%221dcec-5b9f196b11d80-gzip%22	fonts/fontawesome-webfont.ttf?v=4.3.0	C:/My%20Web%20Sites/storin/www.storin.in/fonts/fontawesome-webfonte0a5.ttf	(from css/font-awesome.min.css)
00:40:07	313398/313398	---MCZ	200	added ('OK')	image/svg+xml	etag:%224c836-5b9f196b11d80-gzip%22	fonts/fontawesome-webfont.svg?v=4.3.0	C:/My%20Web%20Sites/storin/www.storin.in/fonts/fontawesome-webfonte0a5.svg	(from css/font-awesome.min.css)
